text,score
一籌未展,-0.1520004
一觸即發,-0.0310323
一躍上前,0.100716875
乙太,0
乙級,0
七零八落,-0.4375
七竅生煙,-2.64E-04
九五之尊,0.1
九霄雲外,0.125
了不起,0.0981612
了去,0
了事,-0.2206953
了度,0
了然於心,0.35942705
了然於胸,0.17545955
了結,-0.0988884
了結生命,-0.007101225
了解,0.3693221
了解商情,0.33009835
了斷,0
二百五,0
二弟,0
二度傷害,-0.45125025
二哥,0
二級,0
二等會員,-0.16989255
二齒,0
人人自危,-0.08042755
人山人海,0.0280856
人才,0.3691111
人不如狗,-0.2075554
人心所向,0.1605103
人心惶惶,-0.0394897
人父,0
人必自侮而後人侮之,-0.0089388
人必自重而後人重之,0.115235422
人民不安,-0.05346425
人生不就是如此,-0.005277429
人生至樂,0.2763341
人吃人,-0.0602193
人身攻擊,-0.2076766
人身傷害,-0.3984572
人事不省,-0.06639905
人味,0.2377581
人性,0.0741042
人品,0
人流,0
人為,-0.08598275
人為,0
人為失當,-0.044279
人為疏失,-0.232008625
人師,0
人格,0
人格高尚,0.26004835
人氣,0.0706212
人氣天王,0.2103106
人氣王,0.013747467
人氣巨星,0.0646894
人氣高,0.2881956
人氣鼎沸,0.0353106
人神共憤,-0.0510168
人脈,0
人情,0.3439602
人情味,0.3524218
人逢喜事精神爽,0.412867957
人單勢孤,-0.1254479
人渣,-0.0030856
人間蒸發,-0.03754145
人微言輕,-0.08799695
人猿,0
人道,0.2930605
人道精神,0.507714525
人道關懷,0.3589738
人盡皆知,0.223857125
人稱,0
人影,0
人數眾多,0.1307641
人潮,0
人窮志短,-0.1859572
人機璧還,0.0978864
人體,0
入土為安,0.208603725
入世,0
入主,0.05
入耳,0
入味,0
入侵,-0.375
入侵,0
入室,0
入星,0
入射,0
入神,0.3198808
入迷,0
入迷,0
入迷的人,-0.0033068
入帳,0.05
入港,0
入葬,0
入夥,0
入榜,0
入墾,0
入選,0
入選,0.0210186
八成是,0.0094262
八卦,-0.325
八股,-0.375
八格,0
八景,0
刀刃,-0.3
刀口,0
刀光血影,-0.12391
刀尖,0
刀尾,0
刀背,0
刀割,-0.525
刁難,-0.4017641
刁鑽,-0.05
刁鑽狡猾,-0.1125
力不從心,-0.22995725
力主,0.3737057
力克,0
力克,0
力抗,-0.0487057
力求,0.3197049
力言,0
力取,0
力取,0
力拚,0.3237057
力爭,0.09631995
力爭上游,0.10087725
力保,0
力保,0.4663041
力保江山,0.23315205
力促,0.2934597
力持,0.3567593
力挽狂瀾,0.1273475
力留,0.4724469
力退,0.0184518
力鬥,0
力陳,0
力圖,0
力圖,0.2237057
力圖振作,0.0407102
力圖趕上,0.114570125
力盡,-0.42914025
力戰,0.01806695
力擒,0
力擒,0
力邀,0.3237057
匕首,-0.0184721
十分,0.11795875
十分方便,0.029076425
十分成功,0.192750175
十分有利,0.220664675
十分自在,0.020533475
十分壯觀,0.112319825
十分相似,0.033356875
十分重要,0.1086611
十分重視,0.07808855
十分容易,0.121838875
十分特別,0.097913575
十分神似,0.100961025
十分接近,0.018215425
十分清楚,0.155109075
十分渺茫,-0.108979375
十分感謝,0.155869025
十分稱職,0.014850375
十分熟悉,0.028520625
十分複雜,-0.296479375
十分擔心,-0.086125375
十分激烈,0.08542845
十分激賞,0.043232325
十分踴躍,0.033979375
十分艱辛,-0.108979375
十分簡單,0.045953375
十分關切,0.152779375
十分難聞,-0.259861425
十分驚訝,-0.212676225
十足,0.31264125
十拿九穩,0.15
十勝投手,0.107859475
十預,0
又不是,-0.253644933
又有何妨,0.00859325
又有表現,0.2011986
又長又密,0.1586974
又非,-0.0050611
又是,0.05
又氣,-0.0175356
又深又刁,0.1072144
又深又強,0.09253025
又深又猛,0.03886435
又遠又準,0.02374975
又穩又準,0.175
又贏了,0.0840744
三八,-0.475
三大要項,0.020831725
三分打點,0.360740025
三分全壘打,0.18368362
三分彈,0.245305833
三足鼎立,0.1802307
三度塞揚獎,0.02458264
三思,0
三思而後行,0.04040482
三流,-0.23907235
三強林立,0.015774075
三連,0
三連霸,0.129959267
三圍,0
三壘打,0.3690142
三贏,0.15
三響砲,0.133333333
下三爛,-0.582255433
下不了台,-0.3146779
下手,-0.44084225
下令,0.475
下令停止,-0.4038882
下功夫,0.188267733
下半身思考,-0.07087194
下去,0
下台,-0.425
下台一鞠躬,-0.17160032
下市,0
下田,0
下地獄,-0.402215167
下沈,-0.7809536
下定決心,0.183967575
下放,0.486056
下垂,-0.65
下垂度,-0.435000333
下毒,-0.85
下毒手,-0.577228167
下流,-0.51407235
下重手,-0.167783233
下降,-0.6
下挫,-0.55
下挫,0
下殺,-0.875
下陷,-0.8
下等,-0.2762588
下裂,0
下跌,-0.475
下滑,-0.4039814
下落不明,-0.39456865
下達,0
下達,0.225
下獄,-0.475
下墜,-0.475
下層社會,-0.11697805
下廚,0
下暴雨,-0.7
下賤,-0.7
下戰書,-0.4870925
下錯藥,-0.583333333
下顎,0
下體,0
下頦,0
上下其手,-0.16770385
上上之策,0.14696135
上工,0
上升,0
上升,0
上天之選,0.288226575
上市發行,0.114772025
上皮,0
上吊,-0.04456545
上好,0.49812075
上衣,0
上來,0.05543455
上架,0
上流,0
上限,-0.06956545
上風,0.16664975
上師,0
上陣,0.05543455
上情,0
上眼,0
上船,0
上喙,0
上場一搏,7.17E-04
上揚,0.29647845
上智,0
上焦,0
上等,0.25417575
上進,0
上當,-0.3808938
上路,0.05543455
上鉤,-0.05543455
上鉤,0
上榜,0.10543455
上漲,0.10543455
上嶺,0
上癮,-0.11049565
上癮者,-0.077037833
久久難以平復,-0.006130517
久坐,-0.0184721
久拖不決,-0.188059675
久深,0
久等,0
久貯,0
久經,-0.0517723
久經世故,-0.22411385
久違,0
久暫,0
久戰兵疲,-0.312055425
么喝,0
也不,-0.3304674
也不會,-0.092949
也可,0.2236185
也可以,0.103453133
也未,-0.35
也同意,0.267617867
也有,0.2578135
也有同感,0.36037755
也有限,-0.055209
也沒有,-0.061457667
也非,-0.0050611
也很不錯,0.3402337
也是,0.05
也能,0.3
也許,0.25
也期盼,0.132494133
也想,0.1261116
也會,0.1910439
也應,0.0330536
也難,-0.3517641
乞丐,-0.25
乞求,-0.2040008
乞討,-0.16391
乞得,-0.1396336
乞憐,-0.09456545
亡羊補牢,0
亡羊補牢,0
亡走,-0.775
亡命,-0.36584225
亡命者,-0.240520767
亡命海外,-0.332921125
亡者,0
亡故,0
千斤重擔,-0.05572095
千方百計,0.02121925
千古,0
千呼萬喚,0.03558205
千差,0
千萬,-0.0289814
千萬不要,-0.106667625
千載難逢,0.17588205
千瘡百孔,-0.05
叉路,0
叉燒,0
口水,-0.398673
口出狂言,0.09847725
口交,0
口吃,-0.27009345
口舌,0
口舌之爭,-0.215818475
口角,-0.3042512
口哨,0
口徑一致,0.009464
口氣,0
口臭,-0.6792512
口臭,0
口渴,-0.1116528
口腔,0
口感好,0.279593733
口罩,0
口試,0
口誅筆伐,-0.1271256
口誦,0
口齒不清,-0.10327085
口頭通過,0.3523624
土改,0
土官,0
土法,0
土肥,0
土匪,-0.1
土匪,0
土匪手段,-0.057921125
土崩瓦解,-0.04660525
土器,0
土坵,0
士官,0
士氣大振,0.05654275
士氣低落,-0.4287322
士紳,0
大一統,0.061032733
大一點,0.005633933
大刀,0
大刀闊斧,0.07722505
大力,0.3692556
大力支持,0.20368515
大力改善,0.4754105
大力協助,0.4471278
大力拔擢,0.1846278
大力推展,0.1945048
大力推動,0.09251115
大力敦促,0.1445048
大力發展,0.2180959
大力韃伐,-0.1846278
大三,0
大丈夫,0.0303666
大上,0
大大成功,0.29727945
大大改善,0.3363326
大小姐脾氣,-0.13714724
大小便,-0.1228614
大公,0
大夫,0
大方,0
大方,0.0955499
大方送,0.0303666
大毛病,-0.4196334
大水,0
大王,0.0044501
大出風頭,0.14952075
大出鋒頭,0.18012835
大加批評,-0.0234613
大加撻伐,-0.0540432
大功臣,0.1254322
大功告成,0.1370045
大包,0
大叫,-0.3294501
大叫大嚷著要求,-0.014233443
大失,-0.4044501
大失所望,-0.0446427
大失敗,-0.536300067
大打出手,-0.177310125
大打折扣,-0.3414857
大打官司,-0.1789857
大本,0
大任,0
大光頭,-0.068180067
大名鼎鼎,0.075492225
大吃一驚,-0.115843425
大多一致,0.27807655
大多數,0.155315933
大好,0.4382361
大好機會,0.4109836
大收穫,0.058658933
大有可為,0.279939525
大有前途,0.17921225
大有問題,-0.0614546
大有裨益,0.2141817
大有機會,0.34354725
大有關係,0.24054075
大冷門,-0.1743314
大利多,0.389632333
大吹大擂,-0.1169501
大吵大鬧,-0.2009573
大吼,-0.0794501
大局著想,0.13181595
大忌,-0.2794501
大志,0
大快人心,0.364605875
大批出沒,-0.19513285
大材小用,-0.056291775
大步,0.0770778
大步邁向,0.0135389
大步邁進,0.2109101
大災難,-0.287476133
大言,0
大言不慚,-0.13890175
大事,0.1401336
大受打擊,-0.4460235
大受傷害,-0.46926285
大受鼓舞,0.04376315
大受影響,-0.04426285
大受歡迎,0.21823715
大和解,0.475840267
大怪獸,-0.236300067
大放光芒,0.15583695
大放送,0.043670733
大放異采,0.096445925
大放異彩,0.104919125
大於,0.2578209
大門,0.050611
大雨,-0.1294501
大便,-0.1716615
大勇,0
大勇,0.2955499
大度,0
大很多,0.2219826
大怒,-0.3295638
大洪水,-0.099247933
大為不滿,-0.006204225
大為升高,0.245059625
大為降低,0.260776475
大為提升,0.082268525
大為解凍,0.135828775
大為興起,0.227598925
大相逕庭,-0.1151112
大相扞格,-0.1520167
大約可推斷,0.05061742
大胖子,-0.292833533
大致,0.3227299
大致完成,0.4653798
大致底定,0.31046425
大致相同,0.3446942
大軍壓境,-0.252199
大降,-0.1294501
大風吹,0.1121566
大倒退,-0.481071733
大哭,-0.3044501
大宴,0
大展身手,0.064853825
大展虎威,0.01144445
大展商機,0.14411855
大師,0
大師,0.0455499
大恐慌,-0.3696334
大書特書,0.1427624
大浪,-0.0594591
大浩劫,-0.0696334
大烏龍,-0.0303666
大破,0
大破,0
大破壞,-0.5696334
大砲,0.0044501
大笑,0.2816901
大起,0.1026639
大起大落,-0.1508931
大逆轉,0.1196334
大逆轉勝,0.06027495
大鬥,0
大問題,-0.0899362
大尉,0
大將,0.0455499
大屠殺,-0.302966733
大張,0
大張旗鼓,-0.06419905
大患,-0.0544501
大掃,0
大敗,-0.3544501
大敗,0
大殺,0
大異其趣,0
大異其趣,0
大眾反彈,-0.24171575
大笨蛋,-0.4196334
大赦,0.0455499
大部分,0.048272567
大都,0
大麥,0
大勝,0.3455499
大喝倒采,-0.13972505
大喜,0.4955499
大喜若狂,0.2382696
大幅,0
大幅,0
大幅下降,-0.27722505
大幅上升,0.100492225
大幅上揚,0.171014175
大幅升值,0.08580095
大幅回穩,0.04777495
大幅成長,0.3416583
大幅改善,0.31355765
大幅受損,-0.21926285
大幅削弱,-0.26472505
大幅降低,0.27722505
大幅倒退,-0.3608038
大幅衰退,-0.2983038
大幅推翻,-0.14234805
大幅勝出,0.18237165
大幅提升,0.06581995
大幅提振,0.06581995
大幅提高,0.22165605
大幅減少,-0.163128825
大幅超越,0.0490482
大幅開放,0.05036355
大幅滑落,-0.19171575
大幅領先,0.05828425
大幅增加,0.07057
大幅緩和,0.21725875
大幅縮短,0.26472505
大惑,-0.1794501
大惑不解,-0.1333535
大悲,-0.1211139
大棒燙,4.07E-04
大減,-0.18183585
大無畏,0.049939567
大牌,0
大登,0
大發雷霆,-0.08125695
大筆,0.0455499
大費周章,-0.038517425
大貶,-0.1294501
大跌,-0.0044501
大量,0.0770778
大量流失,-0.230997275
大量殺戮,-0.2114611
大量需求,0.0365385
大量噴出,-0.0231356
大開,0.1617831
大開殺戒,-0.1415779
大黑馬,0.186300067
大亂,-0.4044501
大亂流,-0.329014967
大傷,-0.4044501
大傷腦筋,-0.22722505
大勢已去,-0.140907325
大勢所趨,0.03328425
大塊呆,-0.2196334
大意,-0.2649907
大意失荊州,-0.07400372
大感,0
大感不安,-0.2151742
大感不悅,-0.09801905
大感失望,-0.0958351
大感吃驚,-0.026634775
大感意外,-0.14797315
大損,-0.3544501
大損,0
大概,0.0455499
大毀滅,-0.4196334
大煩惱,-0.4696334
大肆,0
大肆,0
大肆慶祝,0.12277495
大落,-0.4044501
大誇,-0.0153039
大話,-0.0955499
大飽,0
大鼓,0
大厭,0
大嘆,-0.2794501
大團結,0.152966733
大旗,0
大漢,0
大漲,0.0455499
大睡,0
大禍,-0.2794501
大禍,0
大增,0.0786035
大撈,0
大撈一票,0.04577455
大敵,0
大澆冷水,-0.20549
大潮,0
大熱門,0.274855467
大篇幅,0.0303666
大罵,-0.3294501
大衝擊,-0.4517118
大賞,0
大鬧,-0.1224645
大噪,-0.0044501
大戰,-0.26008885
大蕭條,-0.036300067
大錯,-0.3544501
大錯特錯,-0.2572376
大獲全勝,0.377820525
大聲,-0.0816399
大聲的要求,-0.1027225
大聲要求,-0.111876325
大膽,0
大膽,0
大膽搶進,0.056453275
大舉入侵,-0.13972505
大舉介入,0.02277495
大舉投入,0.01355555
大賺,0.0955499
大賺厚利,0.2142762
大禮,0.1881483
大翻身,0.136300067
大轉折,0.186300067
大難臨頭,-0.3906071
大願,0.1783804
大麴,0
大嚷,-0.0044501
大議,0
大贏家,0.052402333
大爛人,-0.1331651
大躍進,0.2935282
大權,0.0657943
大權在握,0.09592315
大變革,-0.004480567
大變動,-0.1578401
大顯身手,0.064853825
大顯威風,0.04416315
大驚,-0.2118438
大驚小怪,-0.4588987
大驚失色,-0.359582675
女子,0
女王,0.1
女巫,-0.1
女官,0
女郎,0
女裝,0
子仔,0
子案,0
子彈,-0.4598002
子侄,0
孑然,0
小一,0
小二,0
小人,-0.302868
小人得志,-0.0933828
小人得勢,-0.0288921
小子,0
小天使,0.0626976
小心,0
小心,0
小心眼,-0.121626933
小心謹慎,0.05925465
小手段,-0.2478639
小木,0
小毛病,-0.6873024
小吃,0
小有斬獲,0.024840025
小而美,0.060043333
小巫見大巫,0.12198766
小弟,0
小走,0
小事,-0.2613699
小兒,0
小卒,-0.4059536
小姐,0
小官,0
小便,-0.229842
小孩沒屁眼,-0.48015016
小看,-0.4059536
小看,0
小紅,0
小降,-0.5309536
小食,0
小家子氣,-0.3325823
小時,0
小時了了,-0.0268652
小氣,-0.338418
小偷,-0.7059536
小將,0
小康,0
小得多,-0.147402667
小眼睛,-0.3335836
小規模戰鬥,-0.30594898
小傢伙,-0.303969067
小勝,0.0559536
小幅下挫,-0.4529768
小幅走低,-0.6029768
小提大做,-0.22465685
小揚,0.1649097
小跌,-0.4059536
小搗蛋,-0.520635733
小試身手,0.160897925
小詩,0
小腿,0
小鼻子,-0.4771692
小衝突,-0.4210478
小談,0
小器,-0.3059536
小器,0
小殮,0
小賺,0.3059536
小額,0
小題大作,-0.2693607
小贏,0.3559536
小覷,0
山穴,0
山系,0
山岳,0
山弧,0
山羌,0
山芭,0
山洞,0
山域,0
山產,0
山陵,0
山越,0
山痴,0
山道,0
山豬,0
山體,0
工安,0
工作危機,-0.15675405
工作過度,-0.1656498
工整,0.23391015
工頭,0
己見,-0.05543455
已大幅改善,0.23084612
已不能,-0.053644933
已可媲美,0.29930925
已失去,-0.532255433
已生齟齬,-0.0252641
已成,0.3108607
已成了,0.291314867
已成定局,0.26902035
已有,0.2078135
已有改善,0.39468945
已利用,0.299529833
已完成,0.3720198
已找到,0.003610867
已見成效,0.279446825
已足,0.26264125
已具,0.05
已取得,0.167884067
已往,0
已爭取到,0.110304775
已恢復,0.057354933
已研擬,0.066666667
已計畫,0.005041
已面臨停擺,-0.06737552
已拿到,0.029722467
已將,0.05
已接近,0.0210186
已接獲,0.1318801
已無可能,-0.177829875
已發行,0.082739667
已經,0.0297556
已經成為,0.182001125
已經足夠,0.143973375
已經掌握,0.00887195
已經開始,0.0432388
已經解決,0.205637525
已達,0.15
已達成,0.3405738
已達到,0.1630558
已過盛年,-0.00263585
已慢慢穩定,0.030872
已影響,-0.066666667
已確定,0.401453333
已適合,0.483333333
已獲,0.14782015
已獲全面改善,0.330552183
已獲共識,0.073910075
已趨鞏固,0.0493706
巳經,0
干戈,-0.25
干犯,0
干休,-0.16391
干政,-0.25
干涉,0
干涉,0
干涉證人,-0.09592665
干預,0
干預,0
干擾,-0.525
干擾波段,-0.2875
干擾者,-0.346625933
弓子,0
弓臂一振,0.0229996
才女,0
才可,0.539644
才有,0.573839
才有利,0.5835424
才怪,-0.0339745
才是,0.2660255
才氣,0.3335611
才能,0.6160255
才能指望,-0.4475789
才能真正減輕,0.407178967
才得,0.6556591
才疏學淺,-0.22924675
才智,0.6616195
才華,0.3920775
才幹,0.3012394
才會,0.5070694
才藝,0.4160255
不一定,-0.038192133
不一定最好,-0.19119856
不一致,-0.038192133
不一樣,-0.256312133
不了,-0.2043558
不了了之,-0.0141221
不了解,-0.025903133
不二法門,0.13770315
不下,-0.7554674
不凡,0.2804674
不凡的人,0.0971641
不大,-0.2849175
不大可能,-0.1193505
不大可能之事,-0.127761567
不小心,-0.245657333
不干涉,-0.386978267
不予,-0.3094488
不予理會,-0.14079755
不予著墨,-0.0837392
不予置評,-0.2297244
不仁,-0.2804674
不介入,-0.253644933
不允許,-0.0203116
不公,-0.2303219
不公平,-0.0963107
不公平歧視待遇,-0.011520371
不公正,-0.1297854
不公正判決,-0.12962378
不分青紅皂白,-0.111487017
不切,-0.084668
不切實際,-0.173234725
不友好,-0.1829932
不友善,-0.177032567
不及,-0.2989395
不及格,-0.150085667
不反,0.7804674
不反對,0.6719021
不太,-0.4354764
不太可能,-0.0881421
不太相信,-0.03968675
不太能,-0.0903176
不太討人喜歡,-0.176233067
不太精準,-0.008505675
不少,0.4748892
不少進帳,0.0900734
不引人注意,-0.0216804
不支持,-0.1949018
不文明,-0.079277533
不方便,-0.102903867
不止於,0.255022667
不毛,-0.5804674
不主張,-0.386978267
不乏,0.6054674
不以,-0.3989062
不以為然,-0.151736275
不代表,-0.2203116
不令人意外,0.1431764
不充分,-0.167516433
不充足,-0.119550233
不出,-0.311274
不出場,-0.240849333
不加,-0.2679309
不加,0
不加入,-0.1786206
不加思考,-0.010055375
不去,-0.62885055
不去投票,-0.323644675
不可,-0.2136978
不可,0
不可一世,-0.21792485
不可不知,0.0740611
不可分割,-0.249903825
不可以,-0.116858467
不可名狀,7.07E-04
不可收拾,-0.0572052
不可行,-0.0335496
不可否認,0
不可否認,0
不可取,-0.0964376
不可或缺,0.19092445
不可抵抗,-0.25342445
不可抵擋,0.14092445
不可阻撓,0.22842445
不可信,-0.148885667
不可信的事物,-0.0819856
不可信賴,-0.1078835
不可侵犯,0.45342445
不可限量,0.1251605
不可原諒,-0.00342445
不可能,-0.2575348
不可能之事,-0.13509392
不可能任務,-0.14985506
不可能成功,-0.27864408
不可淪為,-0.061975875
不可理喻,-0.14657555
不可測,-0.0712326
不可愛,-0.2204412
不可預知,-0.0911726
不可預測,-0.05342445
不可靠,-0.022025267
不可諱言,-0.06236745
不可謂,-0.0712326
不可避免,-0.080465225
不可避免地,-0.11570128
不叫做,-0.586978267
不只,0
不只是,-0.253644933
不外,0.5804674
不外乎,0.365959667
不失,0.7804674
不巧,-0.0904925
不平,-0.04432055
不平均,-0.062880367
不平坦,-0.112880367
不平常,-0.078754367
不平等,-0.128707833
不平等條約,-0.07044614
不平整,-0.161427133
不平衡,-0.062880367
不平靜,-0.1462137
不必,-0.6508126
不必要,-0.1195285
不必當真,-0.162526475
不必擔心,0.0175984
不打,-0.7339887
不打算,-0.555992467
不正,-0.0945326
不正直,-0.247625733
不正是,0.0296884
不正常,-0.112229067
不正常的興奮,-0.298678
不正當,-0.246661233
不正義,-0.160430767
不正確,-0.313021733
不甘,-0.1817262
不甘不願,-0.18968155
不甘心,-0.090805867
不甘示弱,-0.3158631
不甘寂寞,-0.2033631
不甘願,-0.032597133
不生育,-0.119959467
不用,-0.2652945
不用投票,-0.075543025
不甩,-0.3804674
不示弱,-0.5203116
不交代,-0.286978267
不亦樂乎,0.02505745
不休,-0.2943774
不休,0
不任性,0.1360095
不光,0
不光明正大,-0.33343704
不全,-0.1181964
不全然,-0.0371066
不全然相同,-0.12439944
不再,-0.3804674
不再是,-0.286978267
不再適用,-0.108676375
不吉利,-0.0140048
不同,0
不同,0
不同凡響,0.0492407
不同之處,-0.077901475
不同意,-0.047306267
不名譽,-0.116688567
不合,-0.0445326
不合,0
不合乎,-0.050707
不合宜,-0.194467733
不合法,-0.063021733
不合時宜,-0.1708508
不合格,-0.078895733
不合情理,-0.3677036
不合情理之事,-0.2933303
不合理,-0.296355067
不合理待遇,-0.2148524
不合規定,-0.21092905
不合規格之物,-0.054493367
不合意,-0.175982267
不合群,-0.080389733
不合群的動物,-0.035119367
不合標準,-0.0722663
不合適,-0.296355067
不合適地代表,-0.105403283
不合邏輯,-0.0722663
不吃虧,0.264206433
不在,-0.2544154
不在乎,-0.148591667
不在場,-0.2029436
不在意,-0.0233164
不多,-0.0930434
不多見,-0.008260767
不好,-0.0622188
不好好,-0.30327
不好意思,-0.239739875
不如,0
不如,0
不如人,-0.0434072
不如人意,-0.077165
不如坦誠面對,0.05980595
不如前兩年亮麗,-0.036545314
不如意,-0.067496267
不如預期,-0.0152724
不存,-0.3804674
不存在,-0.2029436
不守,-0.2303219
不守規矩,-0.0400882
不安,-0.1038429
不安全,-0.2107426
不安定,-0.254015267
不安的狀態,-0.0147586
不安寧,-0.1264546
不安穩,-0.2692286
不成,-0.0303933
不成比例,-0.01519665
不成功,-0.1153278
不成立,-0.1521423
不成為問題,0.0468655
不成問題,0.07503045
不成理由,-0.24019665
不成熟,-0.103595533
不朽英名,0.075016425
不死,0.7930274
不老,0.6165
不自在,-0.114294467
不自私,0.381662467
不自然,-0.1233048
不至於,0
不至於,0
不行,-0.3465882
不住,-0.5847186
不似,-0.3304674
不免,-0.18435385
不利,-0.0289928
不利於,-0.122185467
不吝採納,0.1652337
不否認,0.2222248
不告而別,-0.2553189
不含糊,0.239632533
不均,0
不均勻,-0.153644933
不均等,-0.087817467
不妨,0.3804674
不妙,-0.0304674
不妙,0
不妊,-0.3304674
不妥,-0.2804674
不妥協,-0.086978267
不妥當,-0.003338767
不孝,-0.2804674
不孝,0
不完,-0.0832984
不完全,-0.085981733
不完美,-0.227801067
不希望,-0.023131533
不忍,0
不忍,0
不忍卒睹,-0.20913745
不快,-0.01782615
不快樂,-0.220818833
不把,-0.2804674
不牢固,-0.1059675
不牢靠,-0.155920967
不肖,-0.3804674
不良,-0.0304674
不良產品,-0.1137853
不見,-0.22503285
不見天日,-0.090014125
不見外客,-0.220989625
不見得,-0.0764005
不言可喻,0.02486745
不足,-0.01782615
不足之處,-0.01257385
不足以,-0.057509967
不足以抵禦,-0.08450598
不足取,-0.0370891
不足為外人道,-0.019377167
不足為奇,-0.16554825
不足為慮,-0.0811006
不足採信,-0.181175625
不足維生,-0.066351025
不足額,-0.045217433
不亞於,0.0787976
不依,-0.3094488
不依法,-0.172965867
不佳,-0.2804674
不兩立,-0.121764833
不具,-0.3304674
不具有,-0.048435933
不具備,-0.198275867
不到,-0.4717674
不到案,-0.190589133
不協調,-0.001832867
不受,0
不受,0
不受約束,0.2907447
不受重視,-0.226380675
不受限制,0.278322925
不受尊重,-0.0126878
不受感動,-0.14378735
不受鼓勵,-0.1442455
不受影響,0.2322715
不受歡迎,-0.0302285
不和,-0.0945326
不和諧,-0.096355067
不周到,-0.123922467
不坦率,-0.005098167
不定,-0.0532874
不定,0
不宜,-0.0832984
不屈不撓,0.4679674
不屈服,0.1857076
不幸,-0.0804674
不幸之事,-0.03205815
不幸事件,-0.00705815
不幸的人,-0.0028359
不幸的是,-0.0487069
不幸喪生,-0.1649696
不幸罹難,-0.21611575
不忠,-0.1304674
不忠實,-0.167113367
不忿,-0.3804674
不怕,0.6054674
不怕死,-0.712018267
不承認,-0.1012062
不承諾,-0.165959667
不抱,-0.3804674
